ID,Champion,Role,Kills,Deaths,Assists,Gold,CS,Duration,Date,Result
80,Jhin,ADC,11,0,6,"10,401",138,23:57,2022-06-28,Victory
81,Jhin,ADC,7,3,17,"13,389",184,32:59,2022-06-28,Victory
82,Jhin,ADC,0,2,4,"5,063",87,17:17,2022-06-28,Victory
83,Miss Fortune,ADC,5,7,7,"10,891",163,32:24,2022-06-30,Victory
84,Jhin,ADC,6,9,4,"9,879",131,26:17,2022-07-01,Defeat
85,Seraphine,ADC,1,6,15,"9,224",124,29:16,2022-07-02,Victory
86,Seraphine,ADC,1,15,11,"15,154",258,46:50,2022-07-02,Defeat
87,Tristana,ADC,3,7,3,"8,408",125,27:44,2022-07-03,Defeat
88,Jhin,ADC,9,8,7,"13,157",196,31:28,2022-07-04,Defeat
89,Jinx,ADC,8,10,15,"11,442",137,33:09,2022-07-05,Victory
90,Viktor,Top,4,8,5,"11,866",188,32:16,2022-07-11,Defeat
91,Trundle,Jungle,5,7,2,"8,944",133,26:53,2022-07-11,Defeat
92,Zeri,ADC,3,5,2,"7,721",131,25:21,2022-07-15,Defeat
93,Amumu,Jungle,4,2,8,"10,290",154,28:32,2022-07-15,Victory
94,Amumu,Jungle,0,0,0,"1,091",16,3:18,2022-07-18,Remake
95,Amumu,Jungle,5,11,5,"8,443",93,26:06,2022-07-20,Defeat
96,Rammus,Jungle,12,6,20,"16,280",152,35:03,2022-07-20,Victory
97,Shyvana,Jungle,8,1,12,"15,116",217,33:47,2022-07-20,Victory
98,Pantheon,Top,9,9,9,"10,742",90,26:48,2022-07-28,Defeat
99,Jhin,ADC,6,8,7,"10,668",143,30:50,2022-07-28,Defeat
100,Viego,Jungle,5,5,10,"11,079",146,30:29,2022-07-29,Victory
101,Viego,Jungle,4,9,9,"9,932",148,29:35,2022-07-29,Defeat
102,Viego,Jungle,1,6,4,"6,108",91,20:03,2022-07-29,Defeat
103,Zeri,ADC,7,5,7,"10,893",143,23:09,2022-07-31,Defeat
104,Zeri,ADC,0,0,0,879,9,3:14,2022-07-31,Remake
105,Kai'Sa,ADC,12,5,12,"13,888",167,29:26,2022-07-31,Victory
106,Zeri,ADC,2,8,1,"7,026",122,22:27,2022-07-31,Defeat
107,Zeri,ADC,10,5,18,"14,141",144,31:07,2022-07-31,Victory
108,Zeri,ADC,5,7,11,"12,509",190,37:29,2022-07-31,Victory
109,Zeri,ADC,2,5,9,"9,927",155,26:30,2022-07-31,Victory
110,Sivir,ADC,3,8,1,"8,685",156,26:19,2022-08-01,Defeat
111,Kai'Sa,ADC,5,9,2,"8,452",120,21:48,2022-08-01,Defeat
112,Zeri,ADC,5,5,5,"10,555",175,29:44,2022-08-01,Defeat
113,Kai'Sa,ADC,7,5,12,"13,274",182,33:11,2022-08-01,Victory
114,Kai'Sa,ADC,4,10,1,"7,832",129,24:08,2022-08-01,Defeat
115,Zeri,ADC,4,14,9,"10,677",141,34:58,2022-08-01,Defeat
116,Jinx,ADC,11,11,3,"11,377",143,31:58,2022-08-03,Defeat
117,Senna,ADC,5,9,12,"10,307",157,27:50,2022-08-03,Defeat
118,Jhin,ADC,12,3,12,"12,823",141,29:06,2022-08-03,Victory
119,Jinx,ADC,2,9,6,"8,290",144,26:26,2022-08-04,Defeat
120,Jhin,ADC,11,4,9,"12,648",148,32:00,2022-08-04,Victory
121,Jinx,ADC,13,0,4,"13,971",150,22:42,2022-08-04,Victory
122,Jhin,ADC,5,8,2,"8,928",160,27:18,2022-08-09,Defeat
123,Twitch,ADC,5,7,4,"9,074",115,24:37,2022-08-10,Defeat
124,Rammus,Jungle,3,2,5,"5,604",64,16:02,2022-08-10,Victory
125,Ashe,ADC,10,2,15,"11,615",121,24:59,2022-08-10,Victory
126,Ashe,ADC,3,12,6,"10,699",143,33:34,2022-08-11,Defeat
127,Ashe,ADC,6,13,16,"13,069",208,38:18,2022-08-11,Defeat
128,Caitlyn,ADC,5,7,5,"9,399",120,30:12,2022-08-11,Victory
129,Diana,Jungle,4,11,9,"11,273",164,33:30,2022-08-12,Defeat
130,Karma,Support,2,8,2,"6,030",25,23:24,2022-08-12,Defeat
131,Rammus,Jungle,9,6,19,"12,020",116,31:32,2022-08-12,Victory
132,Sivir,ADC,7,7,5,"9,899",190,28:52,2022-08-13,Defeat
133,Jhin,ADC,8,0,7,"13,620",206,28:58,2022-08-13,Victory
134,Jhin,ADC,0,9,0,"4,754",92,20:03,2022-08-13,Defeat
135,Zilean,Support,3,6,14,"8,498",27,31:10,2022-08-13,Victory
136,Viego,Jungle,13,7,7,"13,438",144,29:14,2022-08-13,Victory
137,Nocturne,Jungle,8,17,14,"14,316",168,42:03,2022-08-14,Defeat
138,Lucian,ADC,5,5,12,"9,537",130,24:01,2022-08-14,Victory
139,Ashe,ADC,3,9,3,"8,342",121,28:51,2022-08-16,Defeat
